--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20111106 21:40	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.7	0	0.000	0.0
20111106 21:45	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.8	0	0.000	0.0
20111106 21:50	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.7	0	0.000	0.0
20111106 21:55	20.3	20.3	20.3	97	19.8	0	0	-100000	0.2	1010.7	0	0.000	0.0
20111106 22:00	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1010.8	0	0.000	0.0
20111106 22:05	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1010.8	0	0.000	0.0
20111106 22:10	20.4	20.4	20.4	98	20.1	0	0	-100000	0.0	1010.8	0	0.000	0.0
20111106 22:15	20.3	20.3	20.3	98	20.0	0	0	-100000	0.0	1010.8	0	0.000	0.0
20111106 22:20	20.3	20.3	20.3	98	20.0	0	0	-100000	0.0	1010.8	0	0.000	0.0
20111106 22:25	20.4	20.4	20.4	98	20.1	0	0	-100000	0.0	1010.8	0	0.000	0.0
20111106 22:30	20.3	20.3	20.3	98	19.9	0	0	-100000	0.2	1010.8	0	0.000	0.0
20111106 22:35	20.3	20.3	20.3	98	19.9	0	0	-100000	0.0	1010.7	0	0.000	0.0
20111106 22:40	20.2	20.2	20.2	97	19.7	0	0	-100000	0.0	1010.7	0	0.000	0.0
20111106 22:45	20.1	20.1	20.1	97	19.6	0	0	-100000	0.0	1010.6	0	0.000	0.0
20111106 22:50	20.1	20.1	20.1	97	19.6	0	0	-100000	0.0	1010.6	0	0.000	0.0
20111106 22:55	20.1	20.1	20.1	97	19.6	0	0	-100000	0.0	1010.5	0	0.000	0.0
20111106 23:00	20.1	20.1	20.1	97	19.6	0	0	-100000	0.0	1010.5	0	0.000	0.0
20111106 23:05	20.1	20.1	20.1	97	19.6	0	0	-100000	0.0	1010.4	0	0.000	0.0
20111106 23:10	20.2	20.2	20.2	97	19.7	0	0	-100000	0.0	1010.4	0	0.000	0.0
20111106 23:15	20.2	20.2	20.2	97	19.7	0	0	-100000	0.0	1010.4	0	0.000	0.0
20111106 23:20	20.1	20.1	20.1	97	19.6	0	0	-100000	0.0	1010.4	0	0.000	0.0
20111106 23:25	20.1	20.1	20.1	98	19.8	0	0	-100000	0.0	1010.3	0	0.000	0.0
20111106 23:30	20.1	20.1	20.1	97	19.6	0	0	-100000	0.0	1010.2	0	0.000	0.0
20111106 23:35	20.1	20.1	20.1	98	19.8	0	0	-100000	0.0	1010.2	0	0.000	0.0
20111106 23:40	20.1	20.1	20.1	97	19.6	0	0	-100000	0.0	1010.1	0	0.000	0.0
20111106 23:45	20.1	20.1	20.1	98	19.7	0	0	-100000	0.0	1010.1	0	0.000	0.0
